INFO:root: Done Searching
INFO:root:F303E8 capture at: 65.659
INFO:root:F303E8 capture at: 174.34
INFO:root:F303E8 capture at: 281.91
INFO:root:F303E8 capture at: 389.457
INFO:root:F303E8 capture at: 497.066
INFO:root:F303E8 capture at: 604.679
INFO:root:F303E8 capture at: 712.317
INFO:root:F303E8 capture at: 819.914
INFO:root:F303E8 capture at: 927.517
INFO:root:F303E8 capture at: 35.182
INFO:root:F303E8 capture at: 142.717
INFO:root:F303E8 capture at: 250.337
INFO:root:F303E8 capture at: 357.9
INFO:root:F303E8 capture at: 465.414
INFO:root:F303E8 capture at: 573.026
INFO:root:F303E8 capture at: 680.62
INFO:root:F303E8 capture at: 788.228
INFO:root:F303E8 capture at: 895.859
INFO:root:F303E8 capture at: 3.481
INFO:root:F303E8 capture at: 111.175
INFO:root:F303E8 capture at: 218.749
INFO:root:F303E8 capture at: 326.311
INFO:root:F303E8 capture at: 433.863
INFO:root:F303E8 capture at: 541.387
